you probably have HIV Jesus	Tue Jun 02 19:46:14 +0000 2015	1433274374663	605822753204084737	3197980878	Juice 	alexsb3000	think positive
4 young children confirmed to have HIV in Masinga while their parents are HIV-!!!! #InfantOralMutilation is the first suspect. #STOP #IOM	Wed Jun 10 04:48:01 +0000 2015	1433911681658	608495812482580480	1229610368	KINGA AFRICA	KINGAAFRICA	Promoting oral health and hand washing hygiene
Co " Am alright not being a real nigga" #RealNiggas have HIV+ & AIDS"	Mon Jun 15 14:04:35 +0000 2015	1434377075660	610447816406757376	330093531	Ntando	NtandoNyembe	FC Barcelona IG: NtandoNyembe
If my bitch got HIV I guess I'm gonna have HIV too and that's just how it is	Tue Jun 16 14:05:03 +0000 2015	1434463503659	610810321708650496	414799352	CRXSFVDZ	SucioSouff	Where my mother at? #FREEMEETCH #FREEGOMEZ #FREEPOPS
CDC report: 1 in 8 Americans don't know they have HIV  Silent health crisis...	Sun Jun 28 01:55:39 +0000 2015	1435456539657	614975416567222273	61170779	Hawk	IWFBuckley	Against Equality, For Hierarchy
yes that may be the case. But TB is curable. You don't need to have HIV to get TB and vice versa.	Tue Jun 30 07:01:50 +0000 2015	1435647710658	615777245861273600	550852131	Nonkululeko 	MLengoasa	Love is the only language I speak
OK here is one for you I been dealing with a rare disease for 8 years now I have cancer and if I do chemo my chances of	Mon Jun 01 23:47:34 +0000 2015	1433202454664	605521098864656384	3302165693	Anita	anitacell32	
Thanks to everyone for your positivity and prayers and white light! My biopsy was benign! I do not have cancer! =) =) =) Best news ever.	Mon Jun 01 23:59:20 +0000 2015	1433203160664	605524060043231232	104944845	Eve Paludan	evepaludan	Author, editor, Kindle publisher.  #99cents WITCHY BUSINESS http://www.amazon.com/dp/B00M2PNR7E/ #witches #vampires #romance #paranormal #UK #SCOTLAND #nodms RT
The kid doesnt even have cancer. he just beat chickenpox	Tue Jun 02 01:10:10 +0000 2015	1433207410660	605541885818499072	2318506309	Lord Handsome Grasa 	DatDudeDamon_	302-814. National Treasure. WWE Fan. Packers. Wizards. Ducks. Orioles. Sports Nut.
Drew's AMA: Strongly in favor of medical marijuana: 2 girls at my kids' school have cancer & need it for pain.  #kygov	Tue Jun 02 16:11:16 +0000 2015	1433261476658	605768655050174464	2994596553	Drew Curtis for Gov	curtisforgov	Drew and Heather Curtis - Citizen Candidates for Governor and Lt. Governor of Kentucky
Brave is shit and you have cancer like the rest of the roster faggot no one cares	Wed Jun 03 18:05:47 +0000 2015	1433354747659	606159861982896128	2765579998	Set Slay	Set_Slay	
when u had a good day then u remember u have to clean ur room and u have cancer	Wed Jun 03 19:07:15 +0000 2015	1433358435660	606175330580045826	457298303	sarah	irlbug	
Lets do OT. Help boobear race ruby who have cancer ~ Narrybear 	Wed Jun 03 23:48:52 +0000 2015	1433375332663	606246201747501056	2580297464	Ford Chick	MwWakka	Love SEXY Cars Muddy and all things Dirt Minded. Fast and Sex cars so NO Holdens.
when u had a good day then u remember u have to clean ur room and u have cancer	Thu Jun 04 03:31:50 +0000 2015	1433388710659	606302313129607168	2279925092	grace	plutoboyf	Crazy Mofo ! Proud mother of 4. Louis is my Boobear love him so much :') Click the link for an inspirational message
Just found out i have cancer    	Thu Jun 04 05:51:20 +0000 2015	1433397080660	606337419458301952	3240289911	Cheyenne waves	cheyennewaves	the ocean is my home, music is my life and a wetsuit is my skin
Hi, I'm your half-naked catfish doctor from the internet. You have cancer.	Thu Jun 04 18:34:27 +0000 2015	1433442867659	606529464051335168	2792086170	C4	__c4___	make me breakfast
well okay but google also tells you a cough means you have cancer so i think a new phone may be a tad extreme	Sat Jun 06 03:26:21 +0000 2015	1433561181661	607025708943179777	1733292554	Jenn	LittleNoga	shes either god, jesus, or a wizard
Way too many people have cancer these days. I know it's all in the greater plan but it just sucks.	Sat Jun 06 04:16:45 +0000 2015	1433564205662	607038392522579968	56377331	Kim Oliver	kimmykkRN	
yes people in the milatary are brave, yes people that have cancer are also very brave. but its not a competition.	Sun Jun 07 15:10:46 +0000 2015	1433689846666	607565369088163840	783200028	saba	meowsuzy	hey it me
if your hand is bigger than your face that means you have cancer	Mon Jun 08 00:40:33 +0000 2015	1433724033659	607708759729782784	39358156	Snake Doctor	xSnakeDoctorx	Hanging with Conker and his Bad Fur Day. Loyal Follower to Cote.  #TeamPresser #The7LackeyArmy #TEECAINARMY
Mark, your song Never Givin Up is an inspiration to me. I have cancer and am fighting it..I'm Never Givin Up.	Mon Jun 08 02:20:34 +0000 2015	1433730034663	607733929764880385	827920129	Diamond girl	diamondgirl736	
your team is trash and you have cancer get over it and stop trying to place in scarces top5 it wont happen sad retard	Mon Jun 08 07:04:50 +0000 2015	1433747090658	607805467792965632	2943511732	Mkay	Zero_Mkay	I am 16 years old, Avid gamer. Leader of @ZeroClique. 2,500 Subscribers on YouTube. Snapchat; rotate
Isn't Vickie's daughter a nurse? She said he didn't look like he had cancer, I have cancer, what should it look like?	Tue Jun 09 01:26:27 +0000 2015	1433813187657	608082698700234752	621338071	Darci Dodd	dodd_darci	
I'm pitch black, I fell off the fucking boat, and I now have cancer	Tue Jun 09 01:29:42 +0000 2015	1433813382661	608083516606119937	1565211944	chris	fxckchrxs	Bio
#americanexpress-don't get sick-won't work with payment arrangements.Both mom & I have cancer. Company don't care. Shut credit line off.	Tue Jun 09 04:52:03 +0000 2015	1433825523658	608134439638462464	26875321	Scott Tenorio	Fad982780	
I tried to be adventurous with salsa & guac and I think I have cancer 	Wed Jun 10 01:53:22 +0000 2015	1433901202661	608451860383563778	1725961506	Dylan	BottDylan	
I hope you have cancer you tryhard nigger. i bet you get wet dreams over an MSMC quadfeed	Wed Jun 10 02:26:51 +0000 2015	1433903211657	608460286723502080	2495412408	Edwardis	Leskimer	14 | Edward | GT - Leskz | @21Squadd
Sometimes I shave my head bald and walk into hospitals pretending I have cancer so I get free hospital food	Wed Jun 10 06:39:57 +0000 2015	1433918397658	608523981428121600	3315712487	doram	mydadleft409	why deez niggas hate me
"You have cancer", what would you do if you heard those words? 	Wed Jun 10 20:44:44 +0000 2015	1433969084662	608736578131910656	3135110453	Sah'Brina Barr'tone	SahBrinaB	A survivor making good things out of the bad.
Seeing ah over fb folk making up they have cancer, in fit mind do you think ats right :s you need shot	Thu Jun 11 14:04:39 +0000 2015	1434031479660	608998281721577472	492362540	cara aiken	caraaikenxo	Instagram - caraaikenx
What if I have cancer and I won't get to live out my life and get married and have kids. I haven't even had a chance yet.	Fri Jun 12 03:31:29 +0000 2015	1434079889658	609201327969828864	2567894187	sass queen	ssororitygirl	Insecurity and awkwardness are my specialties. Disney is my life| Est 5.27.14|
he looks dense as fuck, if the pair of them don't have cancer I hope they get it the fucking queers.	Fri Jun 12 14:08:09 +0000 2015	1434118089666	609361550416195584	2761885919	Rebecca 	porcelainwhitey	GT: Porcelain White
Hi, I'm your half-naked catfish doctor from the internet. You have cancer.	Fri Jun 12 17:40:33 +0000 2015	1434130833658	609415002592641027	562417247	doe boy fresh	LegendofOliver	i try to spit rhymes but it's mostly coke zero that comes out snapchat: oliversss
Funny mention that Nickie. #RachelDolezal also claimed to have cancer #fyilive	Fri Jun 12 21:40:25 +0000 2015	1434145225657	609475367011618817	1551274243	Karissa	BoucherKc	Mother, Wife, Sister, Daughter. Popeye said it best, I am what I am. #PrisonReform #EducationReform #GetMoneyOut #LegalizeMarijauna #Ayotzinapa #Equality4All
I went to relay for life I miss you grandpa phil aunt pam and aunt karen I wish you guys didn't have cancer I really miss espcially grandpa	Sat Jun 13 04:19:55 +0000 2015	1434169195661	609575904495300609	2952089769	makenzie phillips	kenzkitten1014	
#WeWouldNeverWorkBecause I'm a Capricorn, and you have cancer	Sun Jun 14 13:12:45 +0000 2015	1434287565659	610072384251514880	2317263521	Jason Fredrick	jfredrick99	Property manager, father, husband.
Me: Mom the doctor told me i have cancer Mom: cause you always on that damn phone 	Mon Jun 15 03:06:46 +0000 2015	1434337606665	610282271443156992	423749141	S A D B O Y	JamesDuffyy	Hurt.
My gigantic man tits don't have cancer. Hooray!	Tue Jun 16 18:37:33 +0000 2015	1434479853664	610878898600026112	90731829	Richard B. Bland	Richard_BB	Rain isn't bad weather, it's just a different kind of good weather.
I have cancer as well. I am in remission but have to be tested every 3 months to see if it came back My prayers r with him	Tue Jun 16 18:49:38 +0000 2015	1434480578661	610881939457863685	94863247	suzan  piscitelli	lovefieri	Huge anthony rizzo fan. Love the cubs and my favorite chefs Aaron Sanchez and bobby flay and michael symon
Guys, I have cancer, make a wish did all of this. I didn't pay anything.	Tue Jun 16 21:46:22 +0000 2015	1434491182660	610926415853260800	151907862	flavia.	hesafety	All social change comes from the passion of individuals.
Guys, I have cancer, make a wish did all of this. I didn't pay anything.	Tue Jun 16 21:48:07 +0000 2015	1434491287662	610926856263503874	1890871795	18	lecherystyles	@Harry_Styles: All the love as always. H   7.9.15
Guys, I have cancer, make a wish did all of this. I didn't pay anything.	Tue Jun 16 21:58:04 +0000 2015	1434491884658	610929360246284290	2459381740	mariana	zialllautumn	In spite of everything, I still believe people are really good at heart.
+ a lot of ppl die from cancer its not funny its not a joke nobody wants to have cancer so think before you say	Tue Jun 16 23:37:09 +0000 2015	1434497829658	610954295383564288	2787047620	1D Updates!	1Dupdates110	Updating you on 1D and Zayn. Ashley (owner), Fiona, Holly, Jessica, Lily, and Rebecca here.
VIDEO: Sir John Hurt: "I have cancer" - Irish Independent  	Wed Jun 17 07:06:18 +0000 2015	1434524778665	611067327711444992	1476964778	Passaladritta	passaladritta	#Viral #News & #Videos #radio #Genesis #Kids  #Notizie & #video #virali x #ragazzi
Tommy Chong and  reveal they have cancer  	Wed Jun 17 18:18:44 +0000 2015	1434565124659	611236551075299328	65769415	Alesha gilliam	braids34	Radio / TV personality check out my radioshow on http://TitanRadio.org on Wednesdays from 2-4 pm call me at 6572785516
Loved today's presentation from eyes on cancer, and educating us on guest who've had, have or may have cancer 	Wed Jun 17 19:39:40 +0000 2015	1434569980663	611256918632472576	540212595	yung ophelia	sydney_electra	BOOKING INQUIRIES: SYD.ZIEMS@GMAIL.COM EDITORIAL HAIR AND MAKEUP ARTIST {ig: yungophelia_}
